"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.51606322055435e-179,1.0844400767074,0.472,0.24,1.27375563135735e-174,"0","Itgam"
2.08528405000406e-178,1.58615090131338,0.306,0.115,5.88154366303646e-174,"0","Atg3"
2.42847741316411e-176,1.52132265754986,0.359,0.157,6.84952054382937e-172,"0","Ptpre"
1.55756917569213e-175,1.242315041277,0.486,0.264,4.39312386003966e-171,"0","Cmip"
3.40922283840596e-175,0.723737790748517,0.777,0.573,9.61571301572402e-171,"0","Arpc1b"
3.42403591748185e-174,1.71327714964139,0.274,0.095,9.65749330525756e-170,"0","Gm6480"
1.11739792523883e-173,1.45042206505428,0.412,0.201,3.15162084813612e-169,"0","Ptp4a1"
3.95977909603266e-173,0.969057259298653,0.575,0.349,1.11685569403601e-168,"0","Pkm"
9.77078942657249e-172,0.829354909114794,0.517,0.268,2.75585115776477e-167,"0","Fcgr3"
7.53858779504128e-169,1.11786234877244,0.53,0.311,2.12625868759139e-164,"0","Rbms1"
6.3519905646702e-168,1.56293248262655,0.309,0.122,1.79157893876523e-163,"0","1110007C09Rik"
1.44470753502442e-167,1.54206797588629,0.335,0.141,4.07479760253637e-163,"0","Lbr"
5.55586919426469e-167,1.5277334865765,0.313,0.127,1.56703290624236e-162,"0","Nup133"
6.2292495045763e-167,1.43269305887747,0.315,0.125,1.75695982276574e-162,"0","Nfam1"
9.46881968294663e-167,1.25909467130859,0.398,0.19,2.6706805915751e-162,"0","Csf2ra"
1.60461519606839e-164,0.999458619799003,0.574,0.366,4.52581716051088e-160,"0","1700016D06Rik"
2.84844608398114e-164,0.671946452472382,0.786,0.583,8.0340421798688e-160,"0","Gnai2"
2.96498893426791e-164,0.557473540267063,0.715,0.425,8.36275128910265e-160,"0","Fcer1g"
3.32940722230761e-161,1.39408042743279,0.369,0.17,9.39059307051861e-157,"0","Csrnp1"
3.88472234960708e-161,1.0992081485045,0.502,0.29,1.09568593870668e-156,"0","Klf6"
1.30810055823866e-159,0.86763689703308,0.626,0.417,3.68949762451214e-155,"0","Myl12b"
1.66401021338412e-159,0.424747629482386,0.986,0.926,4.6933408068499e-155,"0","Actb"
2.48682254606215e-158,1.2158278825841,0.444,0.237,7.0140829911683e-154,"0","Pde4b"
4.20991039269933e-157,1.48946373085447,0.343,0.154,1.18740522626085e-152,"0","March7"
9.48908424830737e-157,1.16054070697309,0.383,0.181,2.67639621223509e-152,"0","Cd14"
1.82347659757031e-156,1.44452406690694,0.373,0.181,5.14311574344707e-152,"0","Ppp1r15a"
1.33505871347757e-154,0.661899346457848,0.359,0.148,3.76553310136348e-150,"0","Ifitm3"
2.39819524205177e-154,1.29214121592187,0.338,0.148,6.76410968020701e-150,"0","Mbp"
1.80380593715394e-153,1.39243759043381,0.358,0.166,5.08763464574268e-149,"0","Cd84"
9.9167139028947e-153,0.872375254055954,0.628,0.42,2.79700915631145e-148,"0","Iqgap1"
2.19292576733384e-151,0.945076655513926,0.531,0.317,6.1851471267651e-147,"0","Ypel3"
2.98613056964081e-147,1.26438871570884,0.384,0.192,8.4223812716719e-143,"0","Ube2b"
4.17580299103823e-146,1.00084022244275,0.414,0.212,1.17778523362233e-141,"0","Gsn"
4.24246793280242e-145,1.40888360392463,0.324,0.144,1.19658808044692e-140,"0","Hist1h1c"
3.10334701631108e-142,1.12617222432943,0.439,0.243,8.7529902595054e-138,"0","Sat1"
3.68403932746938e-139,1.40406827498231,0.276,0.111,1.03908329231274e-134,"0","Nfkbid"
4.31055864351237e-139,0.327830585499468,0.705,0.469,1.21579306540266e-134,"0","Gm6977"
2.84361000041105e-138,1.12051581472518,0.464,0.273,8.02040200615937e-134,"0","Isg15"
5.01191790944558e-137,1.50690938811985,0.252,0.096,1.41361144635913e-132,"0","Ehd1"
1.03942351522451e-130,1.30865637798618,0.307,0.139,2.93169402469074e-126,"0","Phactr2"
6.12778224910706e-130,1.2490056181205,0.328,0.156,1.72834098336065e-125,"0","Slc11a1"
1.24892032861782e-129,1.44925563801673,0.29,0.129,3.52257978686656e-125,"0","Fes"
1.95841800940935e-129,0.608286064869451,0.748,0.559,5.52371799553908e-125,"0","Rac2"
4.69369436872546e-129,1.4301782186858,0.331,0.163,1.32385649669902e-124,"0","Fyb"
1.01190778938292e-127,0.802878308450714,0.587,0.4,2.85408591995452e-123,"0","Hsd3b2"
2.31503660609234e-127,1.33219201434072,0.343,0.173,6.52956074748345e-123,"0","Adat1"
2.42977215147164e-127,0.665536257722894,0.691,0.512,6.85317235322577e-123,"0","9930111J21Rik2"
3.13909150502412e-127,1.16603162496657,0.359,0.185,8.85380758992054e-123,"0","Msl1"
5.03452673831732e-127,0.889201925475845,0.545,0.358,1.4199882665424e-122,"0","Adrbk1"
1.01164768035658e-126,1.47511259816404,0.263,0.109,2.85335228244574e-122,"0","Por"
5.05444309469718e-123,1.31775789738331,0.338,0.169,1.42560567485934e-118,"0","Pten"
1.40760989741947e-122,1.19888367077324,0.355,0.184,3.97016371567161e-118,"0","Nisch"
6.46672158866233e-121,1.58301863562058,0.263,0.113,1.82393882408221e-116,"0","Ppp1r2"
6.35182917919333e-120,0.87618151039513,0.422,0.231,1.79153341999148e-115,"0","Sirpa"
3.73638042176991e-119,0.89563369798338,0.409,0.224,1.0538460979602e-114,"0","Itgal"
6.98180922696609e-119,0.756407742798772,0.606,0.427,1.96921929246578e-114,"0","Dazap2"
